CS_ID,Average Building Score,Address_Line,City,Postal_Code,Property_Type,Year_Built,Price,SquareFeet,$ per sq ft,Sale_Type,Block Group ID,Average Block Group Score,Population,Population: 3 Miles,Households: 3 Miles,Kids under 5,Percent Kids under 5,Kids under 5: 3 Miles,Percent Kids under 5: 3 Miles,Kids 5 to 9,Percent Kids 5 to 9,Kids 5 to 9: 3 Miles,Percent Kids 5 to 9: 3 Miles,Average Age,Household income under 40K: 3 Mile,Household income 40K to 50K: 3 Mile,Household income 50K to 60K: 3 Mile,Household income 60K to 75K: 3 Mile,Household income 75K to 100K: 3 Mile,Household income 100K to 125K: 3 Mile,Household income 125K to 150K: 3 Mile,Household income 150K to 200K: 3 Mile,Household income 200K+: 3 Mile
18771550,,10117 S Tacoma Way,Lakewood,98499,Sports&Entertainment,2003,8800000,,,Investment,5.30531E+11,2,1924,101780,38691,148,0.077,8305,0.082,138,0.072,6988,0.069,33.8,0.412,0.112,0.102,0.108,0.117,0.066,0.042,0.027,0.014
20058903,,1401 S Union Ave,Tacoma,98405,Office,1975,1750000,4886,358,Investment,5.30531E+11,3,718,123755,52855,17,0.024,7035,0.057,17,0.024,7618,0.062,51.4,0.35,0.094,0.078,0.102,0.129,0.097,0.052,0.054,0.043
20742136,,9810 Pacific Ave,Tacoma,98444,Retail,2017,2370000,1682,1409,Investment,5.30531E+11,3,1355,101715,36573,71,0.052,7286,0.072,33,0.024,6709,0.066,37.3,0.762,0.219,0.214,0.227,0.263,0.139,0.076,0.068,0.032
20956338,,4404 S Meridian,Puyallup,98373,Retail,2002,6230000,14355,434,Investment,5.30531E+11,4,2397,84205,31551,170,0.071,5078,0.06,124,0.052,4625,0.055,29.3,0.25,0.088,0.077,0.123,0.139,0.116,0.071,0.083,0.054
21058749,,4201 S Steele St,Tacoma,98409,Retail,1993,3300000,6737,490,Owner User,5.30531E+11,3,2261,142235,55505,167,0.074,9705,0.068,125,0.055,8895,0.063,34.9,0.36,0.103,0.093,0.104,0.133,0.093,0.049,0.041,0.025
21468327,,420 N Meridian,Puyallup,98371,Office,1961/2007,995000,4224,236,Owner User,5.30531E+11,,1332,55084,21326,60,0.045,3206,0.058,40,0.03,2906,0.053,43.5,0.254,0.085,0.088,0.116,0.144,0.117,0.059,0.087,0.05
21769054,,5110 Chicago Ave SW,Tacoma,98499,Multifamily,1977,5750000,,,Investment,5.30531E+11,5,2464,63750,24638,229,0.093,5204,0.082,283,0.115,4529,0.071,28.9,0.427,0.106,0.093,0.101,0.121,0.063,0.041,0.023,0.025
LN-11150078,2,5408 Steilacoom Blvd SW,Lakewood,98499,Retail,1927/1978,365000,4400,83,Owner User,5.30531E+11,5,1941,102851,39157,274,0.141,8549,0.083,215,0.111,7152,0.07,25.6,0.382,0.109,0.105,0.112,0.122,0.07,0.049,0.033,0.019
LN-12170475,3,5804 384th St E,Eatonville,98328,Industrial,N/A,700000,26552,26,OwnerUser,5.30531E+11,2.5,2389,2389,903,111,0.046,111,0.046,181,0.076,181,0.076,47.7,0.476,0.1,0.117,0.264,0.321,0.301,0.315,0.069,0.038
LN-12239253,1,6802 27th St W,University Place,98466,Land,N/A,6862442,,,Investment,5.30531E+11,3.5,1153,97429,40132,145,0.126,6981,0.072,101,0.088,5494,0.056,28.5,0.643,0.192,0.17,0.199,0.29,0.183,0.115,0.106,0.101
LN-14109212,4,401 E 15th St,Tacoma,98421,Specialty,1998,5750000,,,OwnerUser,5.30531E+11,2.5,2414,69923,27762,11,0.005,3905,0.056,6,0.002,3940,0.056,35,0.638,0.161,0.149,0.199,0.262,0.2,0.14,0.135,0.115
LN-14192655,2,11619 Pacific Hwy SW,Lakewood,98499,Retail,1963,700000,4208,166,Owner User,5.30531E+11,3,1312,73212,28276,111,0.085,5521,0.075,64,0.049,5157,0.07,26.9,0.438,0.104,0.097,0.097,0.12,0.059,0.04,0.023,0.022
LN-15108367,2,2512 Holgate St,Tacoma,98402,Industrial,1890,3895000,28800,135,Investment,5.30531E+11,2.5,816,107453,42360,26,0.032,6321,0.059,9,0.011,6903,0.064,35.3,0.734,0.192,0.165,0.209,0.253,0.192,0.096,0.098,0.062
LN-16122969,,23101 Mountain Hwy E,Spanaway,98387,Land,N/A,8000000,,,Investment,5.30531E+11,,1968,27752,9166,65,0.033,2174,0.078,131,0.067,2234,0.08,47.9,0.245,0.081,0.081,0.124,0.153,0.096,0.107,0.077,0.037
LN-16445283,1,12221 Shaw Rd,Puyallup,98374,Land,N/A,2300000,,,OwnerUser,5.30531E+11,4,3413,60854,22396,315,0.092,3809,0.063,189,0.055,3771,0.062,38.2,0.243,0.079,0.063,0.133,0.137,0.121,0.08,0.08,0.063
LN-16681285,2,1502 6th Ave,Tacoma,98405,Retail,1963,795000,1747,455,Investment,5.30531E+11,4,969,99509,42030,76,0.078,5208,0.052,72,0.074,5922,0.06,34,0.35,0.097,0.073,0.1,0.131,0.09,0.055,0.062,0.044
LN-17033691,1,412 23rd St,Puyallup,98372,Land,N/A,800000,,,Investment,5.30531E+11,3,2689,59798,23233,342,0.127,3598,0.06,237,0.088,3172,0.053,27.2,0.25,0.085,0.086,0.114,0.146,0.11,0.064,0.088,0.057
LN-17149505,2,5715 Wollochet Dr NW,Gig Harbor,98335,Office,1992,997950,6000,166,Owner User,5.30531E+11,3,1853,27355,10629,99,0.053,1288,0.047,99,0.053,1408,0.051,40.4,0.197,0.059,0.065,0.088,0.15,0.142,0.082,0.089,0.127
LN-17212434,,16313 60th St E,Sumner,98390,Land,N/A,799000,,,OwnerUser,5.30531E+11,,3396,46261,17586,244,0.072,3087,0.067,283,0.083,2735,0.059,26,0.195,0.088,0.092,0.106,0.153,0.119,0.07,0.1,0.077
LN-17569293,3,2401 N Pearl St,Tacoma,98406,Retail,1986/1991,4740000,43327,109,Investment NNN,5.30531E+11,4,811,91774,39281,53,0.065,5098,0.056,45,0.055,5331,0.058,49.3,0.307,0.087,0.072,0.103,0.135,0.101,0.063,0.068,0.063
LN-17692757,1,12716 86th Ave E,Puyallup,98373,Land,N/A,1150000,,,OwnerUser,5.30531E+11,4,1246,72712,26145,76,0.061,4402,0.061,73,0.059,4541,0.062,39.9,0.24,0.087,0.072,0.126,0.14,0.123,0.08,0.086,0.046
LN-17868872,1,16504 64th St E,Sumner,98390,Land,N/A,3200000,,,OwnerUser,5.30531E+11,3,1586,46139,17301,66,0.042,2892,0.063,96,0.061,2775,0.06,43.9,0.202,0.091,0.09,0.11,0.151,0.115,0.07,0.098,0.074
LN-18181149,3,21509 Mountain Hwy E,Spanaway,98387,Land,N/A,600000,,,Investment,5.30531E+11,3,1617,42406,13944,162,0.1,3340,0.079,100,0.062,3784,0.089,31.9,0.25,0.069,0.095,0.137,0.177,0.092,0.088,0.061,0.032
LN-18181205,3,18811 38th Ave E,Tacoma,98446,Land,N/A,495000,,,Investment,5.30531E+11,5,667,75025,24389,15,0.022,5703,0.076,21,0.031,6391,0.085,37.7,0.195,0.062,0.094,0.129,0.191,0.127,0.09,0.069,0.042
LN-18288967,3,9402 Front St S,Lakewood,98499,Land,N/A,230000,,,Investment,5.30531E+11,3.5,751,110890,41454,56,0.075,8821,0.08,112,0.149,8080,0.073,31.3,0.797,0.227,0.204,0.235,0.237,0.138,0.077,0.055,0.029
LN-18591703,3,5601 Soundview Dr,Gig Harbor,98335,Retail,1982,1780000,6686,266,Owner User,5.30531E+11,3,1853,27355,10629,99,0.053,1288,0.047,99,0.053,1408,0.051,40.4,0.197,0.059,0.065,0.088,0.15,0.142,0.082,0.089,0.127
LN-18710758,1,8217 S Hosmer St,Tacoma,98408,Land,N/A,1190000,,,Investment,5.30531E+11,3,905,137762,50662,42,0.046,10343,0.075,82,0.091,9921,0.072,45.6,0.385,0.116,0.106,0.116,0.126,0.076,0.033,0.026,0.015
LN-18729587,2,6722 Yakima Ave,Tacoma,98408,OfficeOfficeGeneral Retail Daycare CenterGeneral Retail StorefrontGeneral Retail Storefront Retail/OfficeOffice,1920/1994,629900,3226,195,Investment or Owner User,5.30531E+11,3,1274,127633,46364,103,0.081,9569,0.075,47,0.037,9690,0.076,43.1,0.383,0.115,0.101,0.116,0.13,0.078,0.037,0.026,0.015
LN-18771550,2.5,8217 S Hosmer St,Tacoma,98408,Land,N/A,1190000,,,Investment,5.30531E+11,,551,135760,49325,45,0.082,10254,0.076,12,0.022,10312,0.076,48.4,0.771,0.229,0.211,0.24,0.254,0.151,0.066,0.049,0.028
LN-18819368,1,16313 64th St E,Sumner,98390,Land,N/A,950000,,,Investment,5.30531E+11,2,909,42506,15896,13,0.014,2855,0.067,21,0.023,2461,0.058,56.5,0.192,0.091,0.092,0.106,0.149,0.122,0.07,0.099,0.08
LN-18918096,2,4412 6th Ave,Tacoma,98406,OfficeOfficeGeneral Retail Convenience StoreGeneral Retail RestaurantGeneral Retail Storefront Retail/OfficeOffice,1946/1981,695000,3648,191,Investment or Owner User,5.30531E+11,4,918,123058,52812,46,0.05,6869,0.056,51,0.056,7430,0.06,35.9,0.336,0.092,0.075,0.101,0.135,0.094,0.055,0.059,0.052
LN-19374344,3,2213 N Warner St,Tacoma,98406,Specialty,1909/1977,1100000,,,InvestmentorOwnerUser,5.30531E+11,3,712,92988,40399,42,0.059,5086,0.055,35,0.049,5189,0.056,44.8,0.331,0.087,0.069,0.1,0.129,0.097,0.062,0.068,0.055
LN-19626041,2,1824 S Meridian St,Puyallup,98371,Office,1975,575000,1728,333,Owner User,5.30531E+11,4,1853,76656,29210,138,0.074,4580,0.06,70,0.038,4040,0.053,33.7,0.259,0.088,0.077,0.126,0.137,0.115,0.064,0.081,0.053
LN-19627971,1,12811 Pacific Ave S,Tacoma,98444,Retail,2020,1470000,575,2557,Investment,5.30531E+11,3,1927,91619,33177,144,0.075,6493,0.071,0,0,6398,0.07,29.7,0.377,0.111,0.105,0.112,0.139,0.067,0.037,0.036,0.016
LN-20058903,2,1401 S Union Ave,Tacoma,98405,Office,1975,1750000,4886,358,Investment,5.30531E+11,2,1049,114373,48383,132,0.126,6445,0.056,97,0.092,6685,0.058,34.2,0.709,0.19,0.151,0.206,0.258,0.182,0.106,0.113,0.085
LN-20107835,1,8717 Key Peninsula Hwy NW,Lakebay,98349,Land,N/A,815000,,,OwnerUser,5.30531E+11,4,1832,2734,989,33,0.018,85,0.031,131,0.072,170,0.062,40.5,0.209,0.091,0.082,0.148,0.106,0.118,0.046,0.109,0.091
LN-20205607,3,6403-6413 Steilacoom Blvd SW,Lakewood,98499,Retail,1944,1250000,9982,125,Investment or Owner User,5.30531E+11,3,660,97625,38336,52,0.079,7374,0.076,0,0,6287,0.064,42.3,0.359,0.099,0.1,0.109,0.127,0.081,0.058,0.039,0.027
LN-20257323,4,1009-1013 Pacific Ave,Tacoma,98402,Retail,1928,3500000,30368,115,Owner User,5.30531E+11,2,1899,89129,36525,55,0.029,4880,0.055,8,0.004,5710,0.064,41.4,0.715,0.175,0.152,0.199,0.265,0.183,0.103,0.122,0.086
LN-20432592,3,10209 Bridgeport Way SW,Lakewood,98499,Office,1980,2800000,14437,194,Investment,5.30531E+11,4,1222,94621,36064,145,0.119,7901,0.084,56,0.046,6277,0.066,33.4,0.396,0.106,0.107,0.114,0.117,0.07,0.047,0.027,0.017
LN-20637101,1,11311 164th St E,Puyallup,98374,IndustrialOfficeIndustrialLiveWorkUnit,1976/1986,1500000,2113,710,InvestmentorOwnerUser,5.30531E+11,4,908,70615,23665,0,0,5325,0.075,32,0.035,5350,0.076,38.5,0.2,0.075,0.076,0.117,0.168,0.128,0.092,0.086,0.058
LN-20742136,3,1201 39th Ave SW,Puyallup,98373,Land,N/A,2850000,,,Investment,5.30531E+11,,728,64964,24627,0,0,3569,0.055,17,0.023,3561,0.055,59.5,0.518,0.181,0.16,0.236,0.276,0.241,0.132,0.156,0.099
LN-20769216,1,12505 Canyon Rd E,Puyallup,98373,Land,N/A,740520,,,Investment,5.30531E+11,4,1246,72712,26145,76,0.061,4402,0.061,73,0.059,4541,0.062,39.9,0.24,0.087,0.072,0.126,0.14,0.123,0.08,0.086,0.046
LN-20886717,2,4023 S Orchard,Tacoma,98466,Industrial,1980,2807600,23384,120,Investment,5.30531E+11,4,1699,143376,59266,189,0.111,8820,0.062,187,0.11,8896,0.062,31.8,0.687,0.195,0.175,0.215,0.26,0.191,0.101,0.103,0.073
LN-20956338,2.5,10821 Valley Ave E,Puyallup,98372,Land,N/A,2400000,,,Investment,5.30539E+11,,2229,58422,22689,192,0.086,3567,0.061,168,0.075,3607,0.062,29.7,0.501,0.167,0.174,0.241,0.314,0.222,0.118,0.165,0.1
LN-21058749,2.5,4723 E Freeman Rd,Puyallup,98371,Land,N/A,1650000,,,Investment,5.30539E+11,,2229,58422,22689,192,0.086,3567,0.061,168,0.075,3607,0.062,29.7,0.501,0.167,0.174,0.241,0.314,0.222,0.118,0.165,0.1
LN-21081765,3,119 Mashell Ave S,Eatonville,98328,Retail,1950/2020,359000,1464,245,Investment,5.30531E+11,4,1547,1547,580,106,0.069,106,0.069,72,0.047,72,0.047,41.2,0.248,0.067,0.045,0.112,0.241,0.109,0.124,0.034,0.019
LN-21099885,1,1950 S State St,Tacoma,98405,Flex,1974,17250000,242000,71,InvestmentorOwnerUser,5.30531E+11,3,1047,125940,51709,33,0.032,7611,0.06,12,0.011,8138,0.065,43.6,0.346,0.101,0.079,0.106,0.135,0.092,0.051,0.053,0.037
LN-21177908,,1119 Pacific Ave,Tacoma,98402,Office,1912/1986,8500000,87564,97,Investment,5.30531E+11,2,1899,89129,36525,55,0.029,4880,0.055,8,0.004,5710,0.064,41.4,0.715,0.175,0.152,0.199,0.265,0.183,0.103,0.122,0.086
LN-21227269,1,1720 S 7th St,Tacoma,98405,Industrial,1950,4950000,37450,132,InvestmentorOwnerUser,5.30531E+11,5,633,107504,45250,62,0.098,5912,0.055,73,0.115,6432,0.06,29.5,0.351,0.098,0.073,0.104,0.131,0.089,0.054,0.058,0.042
LN-21229870,1,2202 84th St S,Lakewood,98499,Retail,2000,1499000,4995,300,Investment or Owner User,5.30531E+11,2,1930,123348,47109,66,0.034,9210,0.075,78,0.04,8563,0.069,48.6,0.392,0.113,0.1,0.115,0.118,0.076,0.041,0.03,0.016
LN-21333154,4,120 136th St S,Tacoma,98444,Multifamily,1969/2015,7900000,,,Investment,5.30531E+11,2,1458,80652,28830,116,0.08,5955,0.074,131,0.09,5652,0.07,33.4,0.362,0.114,0.111,0.116,0.141,0.063,0.039,0.039,0.015
LN-21423976,2,808 N 2nd St,Tacoma,98403,Office,1985,899000,2044,440,Investment or Owner User,5.30531E+11,1,1479,79774,33393,0,0,3972,0.05,66,0.045,4625,0.058,37.6,0.328,0.088,0.069,0.095,0.135,0.096,0.062,0.073,0.055
LN-21459049,3,2901-2915 Bridgeport Way W,University Place,98466,HealthCare,1969/2017,9800000,,,Investment,5.30531E+11,3.5,1153,97429,40132,145,0.126,6981,0.072,101,0.088,5494,0.056,28.5,0.643,0.192,0.17,0.199,0.29,0.183,0.115,0.106,0.101
LN-21468327,3,3130 S 23rd St,Tacoma,98405,Retail,1991,13700000,61484,223,Investment,5.30531E+11,,899,119674,51755,77,0.086,6556,0.055,36,0.04,7130,0.06,38.5,0.344,0.092,0.076,0.1,0.133,0.094,0.054,0.058,0.05
LN-21481019,3,18407 Pacific Ave S,Spanaway,98387,Office,1985,2550000,24064,106,Investment,5.30531E+11,3,792,45375,15749,0,0,2885,0.064,79,0.1,3473,0.077,48.5,0.251,0.078,0.107,0.132,0.187,0.08,0.078,0.059,0.027
LN-21548454,2,3414 Pacific Ave,Tacoma,98418,Retail,1940,500000,2604,192,Owner User,5.30531E+11,2,892,115864,45382,31,0.035,6843,0.059,45,0.05,7476,0.065,51.1,0.375,0.097,0.09,0.11,0.126,0.091,0.045,0.041,0.026
LN-21571284,1,10615 Canyon Rd E,Puyallup,98373,Land,N/A,550000,,,Investment,5.30531E+11,3,2226,60873,22267,31,0.014,3419,0.056,110,0.049,3550,0.058,33.4,0.237,0.085,0.08,0.121,0.147,0.12,0.073,0.083,0.054
LN-21666019,2,40724 S Silver Lake Rd E,Eatonville,98328,Multifamily,1950,950000,,,Investment,5.30531E+11,2.5,2389,2389,903,111,0.046,111,0.046,181,0.076,181,0.076,47.7,0.476,0.1,0.117,0.264,0.321,0.301,0.315,0.069,0.038
LN-21673589,3,708 Market St,Tacoma,98402,Multifamily(Condo),2007,510000,,,InvestmentorOwnerUser,5.30531E+11,2,1899,89129,36525,55,0.029,4880,0.055,8,0.004,5710,0.064,41.4,0.715,0.175,0.152,0.199,0.265,0.183,0.103,0.122,0.086
LN-21769054,2,5110 Chicago Ave SW,Tacoma,98499,Multifamily,1977,5750000,,,Investment,5.30531E+11,5,2464,63750,24638,229,0.093,5204,0.082,283,0.115,4529,0.071,28.9,0.427,0.106,0.093,0.101,0.121,0.063,0.041,0.023,0.025
LN-21816101,4,3320 S G St,Tacoma,98418,Retail,1946,3000000,19199,156,Owner User,5.30531E+11,2,930,126636,49311,60,0.065,7821,0.062,35,0.038,8701,0.069,30,0.377,0.099,0.089,0.11,0.127,0.092,0.044,0.038,0.024
LN-21889127,4,1113-1115 A St,Tacoma,98402,Office,1923,2025000,17000,119,Investment,5.30531E+11,2,1899,89129,36525,55,0.029,4880,0.055,8,0.004,5710,0.064,41.4,0.715,0.175,0.152,0.199,0.265,0.183,0.103,0.122,0.086
LN-21948843,4,3418 Pacific Ave,Tacoma,98418,Retail,1996,340000,1473,231,Owner User,5.30531E+11,2,892,115864,45382,31,0.035,6843,0.059,45,0.05,7476,0.065,51.1,0.375,0.097,0.09,0.11,0.126,0.091,0.045,0.041,0.026
LN-21959583,2,2513 Meridian Ave E,Edgewood,98371,Land,N/A,920000,,,Investment,5.30531E+11,5,1314,57539,21754,120,0.091,3993,0.069,114,0.087,3418,0.059,33.8,0.206,0.094,0.088,0.115,0.145,0.128,0.075,0.088,0.061
LN-21975731,2,9801 A St,Tacoma,98444,Land,N/A,1400000,,,Investment,5.30531E+11,2,2074,103285,36972,92,0.044,7257,0.07,132,0.064,6750,0.065,40,0.369,0.11,0.11,0.114,0.138,0.07,0.037,0.035,0.016
LN-22076689,2,2365 Tacoma Ave S,Tacoma,98402,Retail,1958/2010,665000,2988,223,Investment or Owner User,5.30531E+11,2.5,816,107453,42360,26,0.032,6321,0.059,9,0.011,6903,0.064,35.3,0.734,0.192,0.165,0.209,0.253,0.192,0.096,0.098,0.062
LN-22076954,3,448 E 18th St,Tacoma,98421,Industrial,1963,5200000,36000,144,OwnerUser,5.30531E+11,2.5,2414,69923,27762,11,0.005,3905,0.056,6,0.002,3940,0.056,35,0.638,0.161,0.149,0.199,0.262,0.2,0.14,0.135,0.115
LN-22087491,2,3020 S Union Ave,Tacoma,98409,Office,1966,1025000,3221,318,Investment,5.30531E+11,4,1699,143376,59266,189,0.111,8820,0.062,187,0.11,8896,0.062,31.8,0.687,0.195,0.175,0.215,0.26,0.191,0.101,0.103,0.073
LN-22093926,,1179 Dock St,Tacoma,98402,Land,N/A,3750000,,,Investment,5.30531E+11,2.5,2414,69923,27762,11,0.005,3905,0.056,6,0.002,3940,0.056,35,0.638,0.161,0.149,0.199,0.262,0.2,0.14,0.135,0.115
LN-22145016,2,12116 109th Avenue Ct E,Puyallup,98374,Multifamily,1991,625000,,,Investment,5.30531E+11,2,2573,83958,30246,36,0.014,5285,0.063,58,0.023,5088,0.061,43.2,0.229,0.076,0.072,0.115,0.149,0.126,0.08,0.09,0.062
LN-22154019,3,6323 Pacific Hwy E,Fife,98424,Retail,1982,1200000,4354,276,Investment or Owner User,5.30539E+11,3,1497,54889,19079,101,0.067,3829,0.07,94,0.063,3603,0.066,40,0.229,0.07,0.082,0.112,0.173,0.115,0.075,0.085,0.06
LN-22173561,,216-220 Puyallup Ave,Tacoma,98421,Specialty,1966/1990,3185000,,,Investment,5.30531E+11,2.5,2414,69923,27762,11,0.005,3905,0.056,6,0.002,3940,0.056,35,0.638,0.161,0.149,0.199,0.262,0.2,0.14,0.135,0.115
LN-22202096,,2608 S 47th St,Tacoma,98409,Office,1999/2013,6100000,20000,305,Investment,5.30531E+11,3,2261,142235,55505,167,0.074,9705,0.068,125,0.055,8895,0.063,34.9,0.36,0.103,0.093,0.104,0.133,0.093,0.049,0.041,0.025
LN-22243531,,758 Polk St S,Tacoma,98444,MultifamilyMultifamilyApartments,1941/2000,525000,,,Investment,5.30531E+11,,834,96643,34835,51,0.061,7501,0.078,61,0.073,6846,0.071,40.8,0.395,0.116,0.111,0.112,0.13,0.058,0.035,0.031,0.012
LN-22244199,,414 N D St,Tacoma,98403,Multifamily,1891/1983,880000,,,Investment,5.30531E+11,1,1479,79774,33393,0,0,3972,0.05,66,0.045,4625,0.058,37.6,0.328,0.088,0.069,0.095,0.135,0.096,0.062,0.073,0.055
LN-22249951,,8327 29th St,University Place,98466,Multifamily,1974,799950,,,Investment,5.30531E+11,,1711,73419,29912,209,0.122,4946,0.067,192,0.112,4083,0.056,30.8,0.297,0.089,0.089,0.096,0.152,0.087,0.059,0.061,0.069
LN-3726167,,1123 Pacific Ave,Tacoma,98402,Office,1919/2007,4975000,26804,186,Investment or Owner User,5.30531E+11,2,1899,89129,36525,55,0.029,4880,0.055,8,0.004,5710,0.064,41.4,0.715,0.175,0.152,0.199,0.265,0.183,0.103,0.122,0.086
LN-3788534,,4723 E Freeman Rd,Puyallup,98371,Land,N/A,1650000,,,Investment,5.30539E+11,,2229,58422,22689,192,0.086,3567,0.061,168,0.075,3607,0.062,29.7,0.25,0.084,0.087,0.12,0.157,0.111,0.059,0.082,0.05
LN-3833911,1,35026 90th Ave S,Roy,98580,Land,N/A,,,,Investment,5.30531E+11,2,607,7772,2601,0,0,621,0.08,50,0.082,604,0.078,53.6,0.275,0.13,0.156,0.093,0.105,0.066,0.046,0.096,0.033
LN-3839013,,8306-8314 166th St E,Puyallup,98375,Land,N/A,1200000,,,Investment,5.30531E+11,,2964,73864,23728,324,0.109,5718,0.077,296,0.1,6218,0.084,33.7,0.17,0.062,0.092,0.111,0.184,0.156,0.095,0.079,0.05
LN-3884778,1,5412 176th St E,Puyallup,98375,Land,N/A,,,,OwnerUser,5.30531E+11,4,4120,67001,21313,205,0.05,5450,0.081,260,0.063,5878,0.088,30.7,0.173,0.073,0.09,0.12,0.195,0.139,0.087,0.074,0.049
LN-3945583,,19406 Mountain Hwy E,Spanaway,98387,Land,N/A,5400000,,,Investment,5.30531E+11,,1372,39531,13080,90,0.066,2781,0.07,95,0.069,3524,0.089,31.6,0.241,0.071,0.098,0.142,0.187,0.086,0.083,0.058,0.034
LN-3958478,,3230 N Narrows Dr,Tacoma,98407,Land,N/A,7900000,,,Investment,5.30531E+11,,1247,60634,25641,31,0.025,3286,0.054,24,0.019,3469,0.057,55.4,0.266,0.077,0.06,0.097,0.15,0.106,0.072,0.083,0.089
LN-5650350,2,9321 S Tacoma Way,Lakewood,98499,Retail,1947,1100000,2032,541,Owner User,5.30531E+11,3.5,751,110890,41454,56,0.075,8821,0.08,112,0.149,8080,0.073,31.3,0.797,0.227,0.204,0.235,0.237,0.138,0.077,0.055,0.029
LN-7336077,,12111 Pacific Hwy S,Lakewood,98499,Land,N/A,1350000,,,Investment,5.30531E+11,5,2464,63750,24638,229,0.093,5204,0.082,283,0.115,4529,0.071,28.9,0.427,0.106,0.093,0.101,0.121,0.063,0.041,0.023,0.025
