"CS_ID","Address_Line","City","Postal_Code","Property_Type","bg_geo_id","url","Price","SquareFeet","Price.SQFT","Sale_Type","Score.Predict","Score"
"LN-21058749","4723 E Freeman Rd","Puyallup",98371,"Land",5.31e+11,"https://www.loopnet.com/Listing/4201-S-Steele-St-Tacoma-WA/21058749/",3300000,6737,490,"Investment",4.88338564034837,4.88338564034837
"LN-22154019","6323 Pacific Hwy E","Fife",98424,"Retail",5.31e+11,"https://www.loopnet.com/Listing/6323-Pacific-Hwy-E-Fife-WA/22154019/",1200000,4354,276,"Investment or Owner User",1.36096546589175,1.36096546589175
"LN-21959583","2513 Meridian Ave E","Edgewood",98371,"Land",5.31e+11,"https://www.loopnet.com/Listing/2513-Meridian-Ave-E-Edgewood-WA/21959583/",920000,42253,22,"Investment",1.8693255497778,1.8693255497778
"LN-21468327","420 N Meridian","Puyallup",98371,"Office",5.31e+11,"https://www.loopnet.com/Listing/420-N-Meridian-Puyallup-WA/21468327/",995000,4224,236,"Owner User",1.86938116438107,1.86938116438107
"LN-17212434","16313 60th St E","Sumner",98390,"Land",5.31e+11,"https://www.loopnet.com/Listing/16313-60th-St-E-Sumner-WA/17212434/",799000,66647,12,"OwnerUser",2.43076334071065,2.43076334071065
"LN-16122969","23101 Mountain Hwy E","Spanaway",98387,"Land",5.31e+11,"https://www.loopnet.com/Listing/23101-Mountain-Hwy-E-Spanaway-WA/16122969/",8e+06,126783,63,"Investment",1.22259796831152,1.22259796831152
"LN-3884778","5412 176th St E","Puyallup",98375,"Land",5.31e+11,"https://www.loopnet.com/Listing/5412-176th-St-E-Puyallup-WA/3884778/",2819918.667,564973,5,"OwnerUser",2.06443075392353,2.06443075392353
"LN-21666019","40724 S Silver Lake Rd E","Eatonville",98328,"Multifamily",5.31e+11,"https://www.loopnet.com/Listing/40724-S-Silver-Lake-Rd-E-Eatonville-WA/21666019/",950000,7112,134,"Investment",4.43825733861345,4.43825733861345
"LN-21459049","2901-2915 Bridgeport Way W","University Place",98466,"HealthCare",5.31e+11,"https://www.loopnet.com/Listing/2901-2915-Bridgeport-Way-W-University-Place-WA/21459049/",9800000,29962,327,"Investment",1.90781392406908,1.90781392406908
"LN-22249951","8327 29th St","University Place",98466,"Multifamily",5.31e+11,"https://www.loopnet.com/Listing/8327-29th-St-University-Place-WA/22249951/",799950,3796,211,"Investment",3.96017078044807,3.96017078044807
"LN-5650350","9321 S Tacoma Way","Lakewood",98499,"Retail",5.31e+11,"https://www.loopnet.com/Listing/9321-S-Tacoma-Way-Lakewood-WA/5650350/",1100000,2032,541,"Owner User",0.819221705656693,0.819221705656693
"LN-18771550","10117 S Tacoma Way","Lakewood",98499,"Sports&Entertainment",5.31e+11,"https://www.loopnet.com/Listing/10117-S-Tacoma-Way-Lakewood-WA/18771550/",8800000,24967,352,"Investment",1.82706316388158,1.82706316388158
"LN-14192655","11619 Pacific Hwy SW","Lakewood",98499,"Retail",5.31e+11,"https://www.loopnet.com/Listing/11619-Pacific-Hwy-SW-Lakewood-WA/14192655/",7e+05,4208,166,"Owner User",1.94119611011003,1.94119611011003
"LN-7336077","12111 Pacific Hwy S","Lakewood",98499,"Land",5.31e+11,"https://www.loopnet.com/Listing/12111-Pacific-Hwy-S-Lakewood-WA/7336077/",1350000,61420,22,"Investment",1.85376629431786,1.85376629431786
"LN-21769054","5110 Chicago Ave SW","Tacoma",98499,"Multifamily",5.31e+11,"https://www.loopnet.com/Listing/5110-Chicago-Ave-SW-Tacoma-WA/21769054/",5750000,26250,219,"Investment",2.42642142725652,2.42642142725652
"LN-22243531","758 Polk St S","Tacoma",98444,"MultifamilyMultifamilyApartments",5.31e+11,"https://www.loopnet.com/Listing/758-Polk-St-S-Tacoma-WA/22243531/",525000,2256,233,"Investment",1.53954367753652,1.53954367753652
"LN-20742136","9810 Pacific Ave","Tacoma",98444,"Retail",5.31e+11,"https://www.loopnet.com/Listing/9810-Pacific-Ave-Tacoma-WA/20742136/",2370000,1682,1409,"Investment",1.04364152502587,1.04364152502587
"LN-21975731","9801 A St","Tacoma",98444,"Land",5.31e+11,"https://www.loopnet.com/Listing/9801-A-St-Tacoma-WA/21975731/",1400000,116305,12,"Investment",3.17543169904099,3.17543169904099
"LN-3945583","19406 Mountain Hwy E","Spanaway",98387,"Land",5.31e+11,"https://www.loopnet.com/Listing/19406-Mountain-Hwy-E-Spanaway-WA/3945583/",5400000,779288,7,"Investment",1.60792175802249,1.60792175802249
"LN-21481019","18407 Pacific Ave S","Spanaway",98387,"Office",5.31e+11,"https://www.loopnet.com/Listing/18407-Pacific-Ave-S-Spanaway-WA/21481019/",2550000,24064,106,"Investment",3.00966052131418,3.00966052131418
"LN-22145016","12116 109th Avenue Ct E","Puyallup",98374,"Multifamily",5.31e+11,"https://www.loopnet.com/Listing/12116-109th-Avenue-Ct-E-Puyallup-WA/22145016/",625000,2598,241,"Investment",3.84983982892618,3.84983982892618
"LN-20956338","4404 S Meridian","Puyallup",98373,"Retail",5.31e+11,"https://www.loopnet.com/Listing/4404-S-Meridian-Puyallup-WA/20956338/",6230000,14355,434,"Investment",1.59324114920075,1.59324114920075
"LN-21571284","10615 Canyon Rd E","Puyallup",98373,"Land",5.31e+11,"https://www.loopnet.com/Listing/10615-Canyon-Rd-E-Puyallup-WA/21571284/",550000,39640,14,"Investment",2.0014357552573,2.0014357552573
"LN-18710758","8217 S Hosmer St","Tacoma",98408,"Land",5.31e+11,"https://www.loopnet.com/Listing/8217-S-Hosmer-St-Tacoma-WA/18710758/",1190000,37026,32,"Investment",3.1349907038655,3.1349907038655
"LN-22087491","3020 S Union Ave","Tacoma",98409,"Office",5.31e+11,"https://www.loopnet.com/Listing/3020-S-Union-Ave-Tacoma-WA/22087491/",1025000,3221,318,"Investment",1.23018885857018,1.23018885857018
"LN-22202096","2608 S 47th St","Tacoma",98409,"Office",5.31e+11,"https://www.loopnet.com/Listing/2608-S-47th-St-Tacoma-WA/22202096/",6100000,20000,305,"Investment",1.26913774373606,1.26913774373606
"LN-21548454","3414 Pacific Ave","Tacoma",98418,"Retail",5.31e+11,"https://www.loopnet.com/Listing/3414-Pacific-Ave-Tacoma-WA/21548454/",5e+05,2604,192,"Owner User",1.63677022588883,1.63677022588883
"LN-21948843","3418 Pacific Ave","Tacoma",98418,"Retail",5.31e+11,"https://www.loopnet.com/Listing/3418-Pacific-Ave-Tacoma-WA/21948843/",340000,1473,231,"Owner User",1.43416154349094,1.43416154349094
"LN-21816101","3320 S G St","Tacoma",98418,"Retail",5.31e+11,"https://www.loopnet.com/Listing/3320-S-G-St-Tacoma-WA/21816101/",3e+06,19199,156,"Owner User",1.91539307861572,1.91539307861572
"LN-22076689","2365 Tacoma Ave S","Tacoma",98402,"Retail",5.31e+11,"https://www.loopnet.com/Listing/2365-Tacoma-Ave-S-Tacoma-WA/22076689/",665000,2988,223,"Investment or Owner User",1.46833083921401,1.46833083921401
"LN-21177908","1119 Pacific Ave","Tacoma",98402,"Office",5.31e+11,"https://www.loopnet.com/Listing/1119-Pacific-Ave-Tacoma-WA/21177908/",8500000,87564,97,"Investment",3.56357454666021,3.56357454666021
"LN-21889127","1113-1115 A St","Tacoma",98402,"Office",5.31e+11,"https://www.loopnet.com/Listing/1113-1115-A-St-Tacoma-WA/21889127/",2025000,17000,119,"Investment",3.36902430991247,3.36902430991247
"LN-3726167","1123 Pacific Ave","Tacoma",98402,"Office",5.31e+11,"https://www.loopnet.com/Listing/1123-Pacific-Ave-Tacoma-WA/3726167/",4975000,26804,186,"Investment or Owner User",2.27689813434185,2.27689813434185
"LN-22244199","414 N D St","Tacoma",98403,"Multifamily",5.31e+11,"https://www.loopnet.com/Listing/414-N-D-St-Tacoma-WA/22244199/",880000,4209,209,"Investment",2.60520644325607,2.60520644325607
"LN-20058903","1401 S Union Ave","Tacoma",98405,"Office",5.31e+11,"https://www.loopnet.com/Listing/1401-S-Union-Ave-Tacoma-WA/20058903/",1750000,4886,358,"Investment",1.14539367888945,1.14539367888945
"LN-3958478","3230 N Narrows Dr","Tacoma",98407,"Land",5.31e+11,"https://www.loopnet.com/Listing/3230-N-Narrows-Dr-Tacoma-WA/3958478/",7900000,2017699,4,"Investment",0.258699578164173,0.258699578164173
"LN-22093926","1179 Dock St","Tacoma",98402,"Land",5.31e+11,"https://www.loopnet.com/Listing/1179-Dock-St-Tacoma-WA/22093926/",3750000,57935,65,"Investment",2.83359513889126,2.83359513889126
"LN-22076954","448 E 18th St","Tacoma",98421,"Industrial",5.31e+11,"https://www.loopnet.com/Listing/448-E-18th-St-Tacoma-WA/22076954/",5200000,36000,144,"OwnerUser",2.24975620640488,2.24975620640488
"LN-22173561","216-220 Puyallup Ave","Tacoma",98421,"Specialty",5.31e+11,"https://www.loopnet.com/Listing/216-220-Puyallup-Ave-Tacoma-WA/22173561/",3185000,48000,66,"Investment",3.70203492404919,3.70203492404919
