CS_ID,url,address,Property_info
LN-20691852,https://www.loopnet.com/Listing/6317-E-Portland-Ave-Tacoma-WA/20691852/,"6317 E Portland Ave, Tacoma, WA 98404","{'Sale Type': 'Investment or Owner User', 'Property Type': 'Retail', 'Property Subtype': 'Storefront Retail/OfficeStorefront Retail/OfficeOffice Office ResidentialStorefront Retail/Office', 'Building Size': '1,616 SF', 'Building Class': 'B', 'Year Built/Renovated': '1946/2018', 'Price': '$400,000', 'Price Per SF': '$248', 'Percent Leased': '24%', 'Tenancy': 'Multiple', 'Building Height': '2 Stories', 'Building FAR': '0.24', 'Land Acres': '0.15 AC'}"
LN-20637101,https://www.loopnet.com/Listing/11311-164th-St-E-Puyallup-WA/20637101/,"11311 164th St E, Puyallup, WA 98374","{'Price': '$1,500,000', 'RentableBuildingArea': '2,113SF', 'PricePerSF': '$710', 'No.Stories': '1', 'SaleType': 'InvestmentorOwnerUser', 'YearBuilt/Renovated': '1976/1986', 'PropertyType': 'IndustrialOfficeIndustrialLiveWorkUnit', 'Tenancy': 'Single', 'BuildingClass': 'C', 'OpportunityZone': 'No', 'LotSize': '4.60AC', '': ''}"
LN-20292461,https://www.loopnet.com/Listing/Phelps-Tire-Factory/20292461/,Phelps Tire Factory,"{'Price': '$2,200,000', 'NumberofProperties': '2', 'Price/SF': '$285.71/SF', 'IndividuallyForSale': '0', 'SaleType': 'Investment', 'TotalBuildingSize': '7,700SF', 'Status': 'UnderContract', 'TotalLandArea': '55.62AC'}"
LN-20257323,https://www.loopnet.com/Listing/1009-1013-Pacific-Ave-Tacoma-WA/20257323/,"1009-1013 Pacific Ave, Tacoma, WA 98402","{'Sale Type': 'Owner User', 'Sale Conditions': 'Deferred MaintenanceDeferred MaintenanceHigh Vacancy PropertyRedevelopment ProjectDeferred Maintenance', 'Property Type': 'Retail', 'Property Subtype': 'Storefront Retail/OfficeStorefront Retail/OfficeOfficeLoft Creative SpaceOffice Telecom Hotel Data HostingOffice Office ResidentialStorefront Retail/Office', 'Building Size': '30,368 SF', 'Building Class': 'C', 'Year Built': '1928', 'Price': '$3,500,000', 'Price Per SF': '$115', 'Tenancy': 'Single', 'Building Height': '3 Stories', 'Building FAR': '3.32', 'Land Acres': '0.21 AC'}"
LN-20205607,https://www.loopnet.com/Listing/6403-6413-Steilacoom-Blvd-SW-Lakewood-WA/20205607/,"6403-6413 Steilacoom Blvd SW, Lakewood, WA 98499","{'Sale Type': 'Investment or Owner User', 'Property Type': 'Retail', 'Property Subtype': 'Storefront Retail/Residential', 'Building Size': '9,982 SF', 'Building Class': 'C', 'Year Built': '1944', 'Price': '$1,250,000', 'Price Per SF': '$125', 'Cap Rate': '6.72%', 'Year-1 NOI': '$84,000', 'Percent Leased': 'Vacant', 'Tenancy': 'Multiple', 'Building Height': '2 Stories', 'Building FAR': '0.57', 'Land Acres': '0.40 AC'}"
LN-20205501,https://www.loopnet.com/Listing/16317-Pacific-Ave-S-Spanaway-WA/20205501/,"16317 Pacific Ave S, Spanaway, WA 98387","{'Sale Type': 'Investment or Owner User', 'Property Type': 'RetailRetailFlex Light ManufacturingShowroomIndustrial ServiceRetail', 'Building Size': '6,093 SF', 'Year Built/Renovated': '1925/1980', 'Price': '$400,000', 'Price Per SF': '$66', 'Percent Leased': '100%', 'Building Height': '1 Story'}"
LN-20204306,https://www.loopnet.com/Listing/Nisqually-Power-Station/20204306/,Nisqually Power Station,"{'Price': '$3,650,000', 'NumberofProperties': '2', 'Price/SF': '$145.34/SF', 'IndividuallyForSale': '0', 'SaleType': 'InvestmentorOwnerUser', 'TotalBuildingSize': '25,114SF', 'Status': 'Active', 'TotalLandArea': '0.94AC'}"
LN-20107835,https://www.loopnet.com/Listing/8717-Key-Peninsula-Hwy-NW-Lakebay-WA/20107835/,"8717 Key Peninsula Hwy NW, Lakebay, WA 98349","{'Price': '$815,000', 'PropertySubtype': 'Commercial', 'SaleType': 'OwnerUser', 'ProposedUse': 'CommercialMixedUseAutoDealershipCommunityCenterDistributionFastFoodGeneralFreestandingHoldForDevelopmentHotelIndustrialLiveorWorkUnitOpenSpaceParkingLotRetailWarehouseSelfStorageWineryorVineyard', 'SaleConditions': 'RedevelopmentProject', 'TotalLotSize': '6.70AC', 'No.Lots': '1', 'OpportunityZone': 'No', 'PropertyType': 'Land', '': ''}"
LN-20005938,https://www.loopnet.com/Listing/12811-Pacific-Hwy-SW-Lakewood-WA/20005938/,"12811 Pacific Hwy SW, Lakewood, WA 98499","{'Price': '$6,225,000', 'No.Stories': '2', 'PricePerSF': '$651', 'YearBuilt/Renovated': '2005/2019', 'SaleType': 'Investment', 'Tenancy': 'Single', 'CapRate': '5.85%', 'ParkingRatio': '2.51/1,000SF', 'PropertyType': 'Flex', 'ClearCeilingHeight': '16FT', 'BuildingClass': 'B', 'No.DriveIn/Grade-LevelDoors': '6', 'LotSize': '0.60AC', 'OpportunityZone': 'Yes', 'RentableBuildingArea': '9,567SF', '': ''}"
LN-19962444,https://www.loopnet.com/Listing/2412-136th-Ave-Ct-E-Sumner-WA/19962444/,"2412 136th Ave Ct E, Sumner, WA 98390","{'Sale Type': 'Investment', 'Property Type': 'Retail', 'Building Size': '3,010 SF', 'Building Class': 'C', 'Year Built': '2020', 'Price': '$5,560,000', 'Price Per SF': '$1,847', 'Cap Rate': '4.50%', 'Year-1 NOI': '$250,200', 'Percent Leased': '100%', 'Building Height': '1 Story', 'Building FAR': '0.08', 'Land Acres': '0.85 AC'}"
LN-19897173,https://www.loopnet.com/Listing/217-W-Stewart-Ave-Puyallup-WA/19897173/,"217 W Stewart Ave, Puyallup, WA 98371","{'Price': '$1,499,999', 'No.Stories': '2', 'PricePerSF': '$130', 'YearBuilt/Renovated': '1988/1992', 'SaleType': 'OwnerUser', 'Tenancy': 'Single', 'PropertyType': 'Industrial', 'ParkingRatio': '0.52/1,000SF', 'PropertySubtype': 'Warehouse', 'No.Dock-HighDoors/Loading': '2', 'BuildingClass': 'B', 'No.DriveIn/Grade-LevelDoors': '1', 'LotSize': '0.30AC', 'OpportunityZone': 'No', 'RentableBuildingArea': '11,520SF', '': ''}"
LN-19874406,https://www.loopnet.com/Listing/6319-112th-St-E-Puyallup-WA/19874406/,"6319 112th St E, Puyallup, WA 98373","{'Price': '$1,750,000', 'RentableBuildingArea': '8,302SF', 'PricePerSF': '$211', 'No.Stories': '1', 'SaleType': 'OwnerUser', 'YearBuilt': '1977', 'PropertyType': 'Industrial', 'ParkingRatio': '1.81/1,000SF', 'PropertySubtype': 'Warehouse', 'No.DriveIn/Grade-LevelDoors': '4', 'BuildingClass': 'C', 'OpportunityZone': 'No', 'LotSize': '2.11AC', '': ''}"
LN-19859913,https://www.loopnet.com/Listing/6314-19th-St-W-Fircrest-WA/19859913/,"6314 19th St W, Fircrest, WA 98466","{'Price': '$350,000', 'Floors': '2', 'UnitSize': '1,360SF', 'TypicalFloorSize': '11,000SF', 'No.Units': '1', 'YearBuilt': '1985', 'TotalBuildingSize': '21,000SF', 'Tenancy': 'Single', 'PropertyType': 'Office(Condo)', 'LotSize': '1.44AC', 'PropertySubtype': 'OfficeLive/WorkUnit', 'ParkingRatio': '0.85/1,000SF', 'SaleType': 'InvestmentorOwnerUser', 'OpportunityZone': 'No', 'BuildingClass': 'C', '': ''}"
LN-19859248,https://www.loopnet.com/Listing/2418-136th-Avenue-Ct-E-Sumner-WA/19859248/,"2418 136th Avenue Ct E, Sumner, WA 98390","{'Sale Type': 'Investment', 'Property Type': 'Retail', 'Property Subtype': 'Fast Food', 'Building Size': '2,200 SF', 'Building Class': 'C', 'Year Built': '2020', 'Price': '$2,880,000', 'Price Per SF': '$1,309', 'Cap Rate': '4.50%', 'Year-1 NOI': '$129,600', 'Percent Leased': '100%', 'Building Height': '1 Story', 'Building FAR': '0.10', 'Land Acres': '0.50 AC'}"
LN-19704420,https://www.loopnet.com/Listing/136-Stewart-Rd-SW-Pacific-WA/19704420/,"136 Stewart Rd SW, Pacific, WA 98047","{'Price': '$6,700,000', 'RentableBuildingArea': '45,797SF', 'PricePerSF': '$146', 'No.Stories': '2', 'SaleType': 'Investment', 'YearBuilt/Renovated': '1969/1980', 'CapRate': '7.02%', 'ParkingRatio': '0.3/1,000SF', 'PropertyType': 'FlexIndustrialManufacturingIndustrialWarehouseIndustrialService', 'ClearCeilingHeight': '14FT', 'BuildingClass': 'C', 'No.DriveIn/Grade-LevelDoors': '4', 'LotSize': '2.78AC', 'OpportunityZone': 'No'}"
LN-19639036,https://www.loopnet.com/Listing/Midland-Commercial-Tacoma-Parkland/19639036/,Midland Commercial - Tacoma/Parkland,"{'Price': '$600,000', 'Status': 'Active', 'Price/SF': '$250.00/SF', 'NumberofProperties': '2', 'CapRate': '7%', 'IndividuallyForSale': '0', 'SaleType': 'InvestmentorOwnerUser', 'TotalBuildingSize': '2,400SF'}"
LN-19627971,https://www.loopnet.com/Listing/12811-Pacific-Ave-S-Tacoma-WA/19627971/,"12811 Pacific Ave S, Tacoma, WA 98444","{'Sale Type': 'Investment', 'Property Type': 'Retail', 'Building Size': '500 SF', 'Building Class': 'C', 'Year Built': '2020', 'Price': '$1,470,000', 'Price Per SF': '$2,940', 'Cap Rate': '6.02%', 'Year-1 NOI': '$88,488', 'Percent Leased': '100%', 'Building Height': '1 Story', 'Building FAR': '0.03', 'Land Acres': '0.38 AC'}"
LN-19626041,https://www.loopnet.com/Listing/1824-S-Meridian-St-Puyallup-WA/19626041/,"1824 S Meridian St, Puyallup, WA 98371","{'Sale Type': 'Owner User', 'Property Type': 'Office', 'Building Size': '1,728 SF', 'Building Class': 'C', 'Year Built': '1975', 'Price': '$575,000', 'Price Per SF': '$333', 'Tenancy': 'Single', 'Building Height': '1 Story', 'Typical Floor Size': '1,728 SF', 'Slab To Slab': '9’', 'Building FAR': '0.04', 'Land Acres': '0.91 AC'}"
LN-19597690,https://www.loopnet.com/Listing/602-Tacoma-Ave-S-Tacoma-WA/19597690/,"602 Tacoma Ave S, Tacoma, WA 98402","{'Price': '$1,800,000', 'PropertySubtype': 'Commercial', 'SaleType': 'Investment', 'ProposedUse': 'RetailOfficeMultifamilyApartmentUnitsSchools', 'No.Lots': '1', 'TotalLotSize': '0.37AC', 'PropertyType': 'Land', 'OpportunityZone': 'No'}"
LN-18771550,https://www.loopnet.com/Listing/10117-S-Tacoma-Way-Lakewood-WA/18771550/,"10117 S Tacoma Way, Lakewood, WA 98499","{'Price': '$8,800,000', 'LotSize': '2.97AC', 'PricePerSF': '$352', 'BuildingSize': '24,967SF', 'SaleType': 'Investment', 'No.Stories': '1', 'CapRate': '6.25%', 'YearBuilt': '2003', 'PropertyType': 'Sports&Entertainment', 'ParkingRatio': '8.01/1,000SF', 'PropertySubtype': 'Casino', 'OpportunityZone': 'No', 'BuildingClass': 'B', '': ''}"
LN-18746763,https://www.loopnet.com/Listing/412-E-Main-Puyallup-WA/18746763/,"412 E Main, Puyallup, WA 98372","{'Sale Type': 'Owner User', 'Property Type': 'Retail', 'Property Subtype': 'Freestanding', 'Building Size': '4,428 SF', 'Building Class': 'B', 'Year Built': '1976', 'Price': '$769,500', 'Price Per SF': '$174', 'Tenancy': 'Single', 'Building Height': '2 Stories', 'Building FAR': '0.39', 'Land Acres': '0.26 AC'}"
LN-18710758,https://www.loopnet.com/Listing/8217-S-Hosmer-St-Tacoma-WA/18710758/,"8217 S Hosmer St, Tacoma, WA 98408","{'Price': '$1,190,000', 'PropertySubtype': 'Commercial', 'SaleType': 'Investment', 'ProposedUse': 'Retail', 'No.Lots': '1', 'TotalLotSize': '0.85AC', 'PropertyType': 'Land', 'OpportunityZone': 'No'}"
LN-18591703,https://www.loopnet.com/Listing/5601-Soundview-Dr-Gig-Harbor-WA/18591703/,"5601 Soundview Dr, Gig Harbor, WA 98335","{'Sale Type': 'Owner User', 'Property Type': 'Retail', 'Property Subtype': 'Restaurant', 'Building Size': '6,686 SF', 'Building Class': 'B', 'Year Built': '1982', 'Price': '$2,250,000', 'Price Per SF': '$337', 'Tenancy': 'Single', 'Building Height': '1 Story', 'Building FAR': '0.20', 'Land Acres': '0.75 AC'}"
LN-18503239,https://www.loopnet.com/Listing/2515-N-Stevens-St-Tacoma-WA/18503239/,"2515 N Stevens St, Tacoma, WA 98406","{'Sale Type': 'Owner User', 'Property Type': 'Retail', 'Building Size': '2,600 SF', 'Year Built/Renovated': '1959/2015', 'Price': '$995,000', 'Price Per SF': '$383', 'Percent Leased': 'Vacant', 'Building Height': '1 Story', 'Building FAR': '0.24', 'Land Acres': '0.25 AC'}"
LN-18498353,https://www.loopnet.com/Listing/125-S-Meridian-Puyallup-WA/18498353/,"125 S Meridian, Puyallup, WA 98371","{'Sale Type': 'Investment', 'Property Type': 'Retail', 'Property Subtype': 'Storefront', 'Building Size': '9,900 SF', 'Building Class': 'C', 'Year Built/Renovated': '1948/1983', 'Price': '$1,499,000', 'Price Per SF': '$151', 'Cap Rate': '7.15%', 'Year-1 NOI': '$107,133', 'Tenancy': 'Single', 'Building Height': '2 Stories', 'Building FAR': '1.43', 'Land Acres': '0.16 AC'}"
LN-18436670,https://www.loopnet.com/Listing/1944-Milwaukee-Way-Tacoma-WA/18436670/,"1944 Milwaukee Way, Tacoma, WA 98421","{'Price': '$2,200,000', 'No.Stories': '1', 'PricePerSF': '$218', 'YearBuilt': '1964', 'SaleType': 'OwnerUser', 'Tenancy': 'Single', 'PropertyType': 'Industrial', 'ParkingRatio': '0.71/1,000SF', 'PropertySubtype': 'Warehouse', 'No.Dock-HighDoors/Loading': '1', 'BuildingClass': 'C', 'No.DriveIn/Grade-LevelDoors': '1', 'LotSize': '0.94AC', 'OpportunityZone': 'No', 'RentableBuildingArea': '10,100SF', '': ''}"
LN-18337628,https://www.loopnet.com/Listing/68317-SR-410-E-Enumclaw-WA/18337628/,"68317 SR 410 E, Enumclaw, WA 98022","{'Price': '$5,250,000', 'LotSize': '22.00AC', 'PricePerRoom': '$187,500', 'BuildingSize': '15,000SF', 'SaleType': 'Investment', 'No.Rooms': '28', 'CapRate': '9.31%', 'No.Stories': '2', 'PropertyType': 'Hospitality', 'YearBuilt': '1960', 'PropertySubtype': 'MotelHospitalityHotel', 'Corridor': 'Exterior', 'BuildingClass': 'B', 'OpportunityZone': 'No'}"
LN-18288967,https://www.loopnet.com/Listing/9402-Front-St-S-Lakewood-WA/18288967/,"9402 Front St S, Lakewood, WA 98499","{'Price': '$230,000', 'PropertySubtype': 'Commercial', 'SaleType': 'Investment', 'ProposedUse': 'CommercialIndustrial', 'No.Lots': '1', 'TotalLotSize': '0.79AC', 'PropertyType': 'Land', 'OpportunityZone': 'No'}"
LN-18181205,https://www.loopnet.com/Listing/18811-38th-Ave-E-Tacoma-WA/18181205/,"18811 38th Ave E, Tacoma, WA 98446","{'Price': '$495,000', 'ProposedUse': 'IndustrialOfficeSelfStorageWarehouse', 'SaleType': 'Investment', 'TotalLotSize': '0.98AC', 'No.Lots': '1', 'CrossStreets': '189thStE', 'PropertyType': 'Land', 'OpportunityZone': 'No', 'PropertySubtype': 'Industrial', '': ''}"
LN-18181149,https://www.loopnet.com/Listing/21509-Mountain-Hwy-E-Spanaway-WA/18181149/,"21509 Mountain Hwy E, Spanaway, WA 98387","{'Price': '$600,000', 'PropertySubtype': 'Commercial', 'SaleType': 'Investment', 'TotalLotSize': '1.62AC', 'No.Lots': '1', 'OpportunityZone': 'No', 'PropertyType': 'Land', '': ''}"
LN-17665091,https://www.loopnet.com/Listing/Brand-New-25-Year-CVS-Portfolio/17665091/,Brand New 25-Year CVS Portfolio,"{'Price': '$90,717,926', 'NumberofProperties': '15', 'Price/SF': '$517.00/SF', 'IndividuallyForSale': '0', 'CapRate': '5.64%', 'TotalBuildingSize': '175,469SF', 'SaleType': 'Investment', 'TotalLandArea': '18.47AC', 'Status': 'Active', '': ''}"
LN-17654193,https://www.loopnet.com/Listing/7519-48th-St-E-Fife-WA/17654193/,"7519 48th St E, Fife, WA 98424","{'Price': '$1,850,000', 'PropertySubtype': 'Commercial', 'SaleType': 'Investment', 'TotalLotSize': '5.86AC', 'No.Lots': '1', 'OpportunityZone': 'No', 'PropertyType': 'Land', '': ''}"
LN-17590723,https://www.loopnet.com/Listing/16017-60th-St-E-Sumner-WA/17590723/,"16017 60th St E, Sumner, WA 98390","{'Price': '$2,100,000', 'PropertySubtype': 'Commercial', 'SaleType': 'Investment', 'ProposedUse': 'Multifamily', 'SaleConditions': 'RedevelopmentProject', 'TotalLotSize': '4.00AC', 'No.Lots': '1', 'OpportunityZone': 'No', 'PropertyType': 'Land', '': ''}"
LN-17033691,https://www.loopnet.com/Listing/412-23rd-St-Puyallup-WA/17033691/,"412 23rd St, Puyallup, WA 98372","{'Price': '$800,000', 'PropertySubtype': 'Commercial', 'SaleType': 'Investment', 'TotalLotSize': '1.13AC', 'No.Lots': '1', 'OpportunityZone': 'No', 'PropertyType': 'Land', '': ''}"
LN-16845083,https://www.loopnet.com/Listing/11721-Burnham-Dr-NW-Gig-Harbor-WA/16845083/,"11721 Burnham Dr NW, Gig Harbor, WA 98332","{'Price': '$320,000', 'PropertySubtype': 'Commercial', 'SaleType': 'InvestmentorOwnerUser', 'ProposedUse': 'RetailOffice', 'No.Lots': '1', 'TotalLotSize': '0.98AC', 'PropertyType': 'Land', 'OpportunityZone': 'No'}"
LN-16681285,https://www.loopnet.com/Listing/1502-6th-Ave-Tacoma-WA/16681285/,"1502 6th Ave, Tacoma, WA 98405","{'Sale Type': 'Investment', 'Sale Condition': 'Redevelopment Project', 'Property Type': 'Retail', 'Property Subtype': 'FreestandingFreestandingGeneral Retail Auto RepairGeneral Retail Service StationIndustrial ServiceFreestanding', 'Building Size': '1,747 SF', 'Building Class': 'C', 'Year Built': '1963', 'Price': '$800,000', 'Price Per SF': '$458', 'Cap Rate': '9.37%', 'Year-1 NOI': '$74,925', 'Tenancy': 'Single', 'Building Height': '1 Story', 'Building FAR': '0.11', 'Land Acres': '0.37 AC'}"
